Date,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10
2017-06-10,67,83,43,N/A,54,75,53,37,48,45
2017-06-11,72,83,45,52,39,88,67,30,43,50
2017-06-12,64,56,45,40,43,63,67,34,45,38
2017-06-13,63,76,42,52,35,59,60,46,30,49
2017-06-14,57,70,56,58,41,68,57,37,50,32
2017-06-15,54,71,54,52,50,68,57,29,41,45
2017-06-16,60,84,53,51,47,72,62,33,52,44
2017-06-17,73,71,50,58,40,73,57,39,56,43
2017-06-18,57,71,70,82,74,51,48,40,47,68
2017-06-19,54,87,66,72,67,43,32,36,61,74
2017-06-20,61,73,59,51,41,67,64,22,41,44
2017-06-21,59,76,41,50,44,72,56,36,48,N/A
2017-06-22,53,78,66,83,76,42,38,41,64,70
2017-06-23,49,66,72,69,83,41,35,31,63,62
2017-06-24,61,77,50,53,56,67,63,26,43,62
2017-06-25,48,71,57,50,39,60,65,28,46,46
2017-06-26,48,67,66,77,71,46,18,32,63,59
2017-06-27,69,73,42,53,41,83,55,32,46,48
2017-06-28,58,81,70,72,66,54,34,37,56,68
2017-06-29,49,63,68,58,41,66,70,37,43,38
2017-06-30,63,79,43,52,37,71,60,41,47,31
2017-07-01,54,56,48,48,55,75,59,42,38,45
2017-07-02,63,60,59,69,49,71,59,33,49,56
2017-07-03,74,78,55,51,42,69,64,35,40,60
2017-07-04,67,73,35,55,50,80,55,30,55,49
2017-07-05,66,72,57,50,42,67,48,35,51,59
2017-07-06,69,82,64,64,30,60,50,33,48,59
2017-07-07,57,77,72,79,82,44,38,43,66,60
2017-07-08,54,82,45,48,35,66,60,37,34,39
2017-07-09,62,81,N/A,63,49,61,61,40,45,49
2017-07-10,51,71,58,80,75,39,45,38,74,60
2017-07-11,66,84,46,44,45,71,58,40,42,46
2017-07-12,52,67,67,75,75,42,42,41,66,70
2017-07-13,57,64,52,54,47,71,62,31,53,42
2017-07-14,57,86,32,58,45,62,58,37,52,46
2017-07-15,64,65,81,77,80,58,35,36,53,72
2017-07-16,71,76,56,50,37,85,61,42,39,50
2017-07-17,50,65,40,52,43,71,57,47,46,38
2017-07-18,64,74,62,48,38,74,66,42,54,44
2017-07-19,61,74,45,49,42,82,61,26,41,54
2017-07-20,67,77,50,54,44,73,63,20,50,54
2017-07-21,61,87,46,44,31,68,68,33,47,60
2017-07-22,63,80,54,79,72,61,46,32,45,76
2017-07-23,66,85,48,59,46,79,57,23,37,45
2017-07-24,65,63,68,75,66,41,48,36,56,66
2017-07-25,65,80,35,58,56,73,51,33,40,55
2017-07-26,66,79,54,N/A,60,64,60,30,55,48
2017-07-27,73,91,70,75,73,43,27,40,62,71
2017-07-28,74,80,56,47,34,73,68,39,42,50
2017-07-29,68,61,57,50,31,84,57,30,51,52
2017-07-30,65,80,43,48,47,74,53,18,45,59
2017-07-31,59,78,53,53,36,83,67,24,32,43
2017-08-01,57,66,68,77,65,44,38,39,70,57
2017-08-02,71,74,45,55,48,76,46,36,55,46
2017-08-03,62,79,50,63,52,74,65,26,47,35
2017-08-04,73,77,48,47,41,69,54,27,53,50
2017-08-05,51,77,41,48,40,71,64,36,57,N/A
2017-08-06,58,74,49,60,31,73,75,N/A,50,45
2017-08-07,67,86,42,46,42,66,76,24,51,35
2017-08-08,74,61,71,81,72,45,35,42,63,65
2017-08-09,63,75,68,68,82,40,34,33,57,63
2017-08-10,62,72,48,44,41,68,69,29,40,33
2017-08-11,49,65,55,53,53,76,N/A,36,39,54
2017-08-12,56,72,49,58,41,61,67,39,57,49
2017-08-13,63,71,66,80,79,48,36,30,69,69
2017-08-14,71,72,33,N/A,43,55,58,29,36,50
2017-08-15,58,69,76,82,74,41,41,42,69,62
2017-08-16,63,73,51,54,54,76,50,25,46,28
2017-08-17,68,81,61,54,36,84,67,48,44,57
2017-08-18,50,85,58,44,38,78,63,34,49,42
2017-08-19,57,88,62,49,58,62,50,35,47,47
2017-08-20,61,N/A,60,58,57,80,54,25,41,44
2017-08-21,63,66,38,60,52,65,55,30,56,37
2017-08-22,58,79,45,50,48,81,72,30,38,50
2017-08-23,75,67,53,57,45,66,71,29,40,45
2017-08-24,47,72,72,84,73,46,39,34,54,72
2017-08-25,58,78,43,46,38,79,57,43,42,47
2017-08-26,63,73,46,51,51,79,65,19,51,54
2017-08-27,64,71,52,58,42,75,62,28,48,47
2017-08-28,58,81,55,42,39,71,52,29,54,43
2017-08-29,73,75,45,43,45,79,67,30,36,43
2017-08-30,66,75,54,61,51,64,63,30,52,52
2017-08-31,54,79,63,65,57,35,35,47,60,49
2017-09-01,64,74,51,39,47,72,56,32,N/A,56
2017-09-02,61,77,42,52,48,69,68,31,47,38
2017-09-03,44,69,75,77,82,64,55,35,72,68
2017-09-04,59,70,45,46,57,84,58,30,41,54
2017-09-05,55,68,N/A,81,72,48,32,34,53,52
2017-09-06,64,64,57,81,82,52,33,28,73,57
2017-09-07,74,86,37,51,56,69,63,34,43,46
2017-09-08,72,80,49,54,50,72,56,33,38,45
2017-09-09,77,93,54,51,37,60,70,33,34,56
2017-09-10,68,87,55,N/A,52,83,73,28,47,51
2017-09-11,63,68,46,46,45,75,69,26,47,38
2017-09-12,80,77,52,57,39,76,61,41,34,42
2017-09-13,56,76,47,59,57,82,42,26,47,50
2017-09-14,63,74,44,57,41,77,71,24,52,42
2017-09-15,63,67,52,60,47,78,58,31,44,44
2017-09-16,56,76,63,54,46,82,52,16,41,41
2017-09-17,54,66,73,81,76,59,44,43,71,62
2017-09-18,74,71,57,47,43,74,56,34,41,50
2017-09-19,66,79,32,50,41,68,67,44,37,48
2017-09-20,59,63,74,78,77,54,37,38,70,61
2017-09-21,76,77,57,63,31,83,67,37,40,42
2017-09-22,58,64,77,70,70,42,49,31,52,73
2017-09-23,59,72,56,51,39,76,62,23,54,45
2017-09-24,64,74,41,59,54,64,57,35,47,37
2017-09-25,64,78,57,59,30,68,N/A,26,47,58
2017-09-26,75,82,52,50,44,74,50,24,48,46
2017-09-27,60,80,46,51,48,72,61,40,60,48
2017-09-28,62,74,39,46,39,85,60,31,47,57
2017-09-29,66,67,44,58,34,78,66,27,52,48
2017-09-30,52,80,71,87,76,50,43,29,62,52
2017-10-01,78,64,38,47,40,57,67,26,48,50
2017-10-02,62,81,47,50,35,75,63,43,52,53
2017-10-03,65,80,62,54,52,64,73,33,43,52
2017-10-04,53,91,57,56,36,74,64,30,42,62
2017-10-05,76,78,35,61,38,71,61,34,48,53
2017-10-06,63,79,54,60,49,62,62,34,52,45
2017-10-07,53,80,72,78,62,48,46,33,54,78
2017-10-08,69,76,48,49,38,72,74,43,30,49
2017-10-09,64,76,48,49,37,69,63,31,43,61
2017-10-10,72,76,42,58,36,73,56,38,49,45
2017-10-11,59,83,41,47,58,67,69,40,32,62
2017-10-12,60,73,53,40,39,71,63,26,43,49
2017-10-13,N/A,88,37,66,48,82,52,33,39,34
2017-10-14,56,69,47,71,42,72,63,23,48,50
2017-10-15,64,86,49,61,49,75,60,27,52,38
2017-10-16,62,84,50,48,49,72,52,30,51,52
2017-10-17,71,76,28,61,52,75,71,39,37,44
2017-10-18,60,69,77,84,76,48,26,33,63,71
2017-10-19,76,72,55,54,39,79,56,41,42,41
2017-10-20,73,66,42,61,45,73,65,32,46,41
2017-10-21,61,82,38,58,35,71,N/A,34,N/A,41
2017-10-22,62,76,43,59,47,73,65,33,46,40
2017-10-23,60,68,72,83,81,38,49,41,48,66
2017-10-24,50,83,54,68,41,76,55,30,52,46
2017-10-25,66,72,45,N/A,42,75,64,30,41,54
2017-10-26,55,72,52,53,48,73,56,37,41,63
2017-10-27,55,73,45,50,38,68,60,33,55,42
2017-10-28,60,78,44,56,45,58,67,34,40,55
2017-10-29,63,80,48,37,50,78,48,31,43,49
2017-10-30,64,71,43,51,57,70,60,29,61,53
2017-10-31,60,77,49,60,50,79,63,43,50,36
2017-11-01,68,75,50,51,34,76,57,32,51,52
2017-11-02,55,75,64,91,82,39,54,41,73,66
2017-11-03,57,73,45,49,33,74,47,25,62,29
2017-11-04,60,70,59,71,73,49,46,37,65,65
2017-11-05,72,85,53,43,40,80,66,38,47,41
2017-11-06,72,68,48,44,62,74,51,41,42,46
2017-11-07,55,74,75,93,74,57,36,10,45,72
2017-11-08,56,67,54,59,44,63,67,34,34,53
2017-11-09,70,83,31,46,40,79,66,41,46,53
2017-11-10,59,69,81,73,76,33,36,45,65,74
2017-11-11,70,69,44,52,45,70,61,30,43,38
2017-11-12,54,79,58,61,48,67,69,31,59,50
2017-11-13,73,80,51,51,42,78,63,39,49,44
2017-11-14,54,84,76,83,71,51,43,34,55,61
2017-11-15,59,77,41,60,48,73,65,44,43,45
2017-11-16,64,66,38,62,46,61,62,38,29,50
2017-11-17,65,67,49,52,30,67,57,42,50,49
2017-11-18,67,87,58,54,30,78,72,25,47,32
2017-11-19,64,76,63,54,49,66,55,32,45,47
2017-11-20,62,67,53,N/A,40,66,68,30,46,35
2017-11-21,50,67,56,65,88,45,32,31,71,63
2017-11-22,70,89,46,51,48,79,71,39,37,43
2017-11-23,63,76,48,46,33,74,66,23,31,44
2017-11-24,64,76,59,53,34,60,72,36,38,54
2017-11-25,71,75,36,46,34,72,58,32,33,39
2017-11-26,70,69,45,37,36,75,77,30,37,44
2017-11-27,58,78,48,56,23,69,57,45,57,38
2017-11-28,51,68,71,91,79,46,31,31,55,50
2017-11-29,73,64,44,55,50,62,69,31,44,51
2017-11-30,62,71,76,80,72,51,34,37,65,75
2017-12-01,53,76,40,56,54,73,69,36,48,38
2017-12-02,61,82,50,53,49,81,61,19,41,33
2017-12-03,62,75,49,46,44,73,61,29,42,38
2017-12-04,67,77,61,59,44,70,66,33,45,42
2017-12-05,51,76,57,51,40,70,62,37,42,51
2017-12-06,57,65,52,59,48,65,65,39,37,37
2017-12-07,56,78,54,50,35,67,64,24,33,54
2017-12-08,71,66,45,52,59,74,61,37,45,48
2017-12-09,63,86,36,43,40,59,65,38,48,50
2017-12-10,58,82,46,54,42,69,63,35,43,49
2017-12-11,N/A,71,56,54,43,67,58,38,46,51
2017-12-12,61,80,47,56,58,81,71,24,40,53
2017-12-13,69,76,54,64,56,76,73,16,46,40
2017-12-14,75,71,40,58,55,78,60,38,38,50
2017-12-15,53,91,74,83,57,51,34,N/A,62,61
2017-12-16,77,87,54,61,33,81,59,37,49,40
2017-12-17,56,83,50,65,51,78,65,28,53,49
2017-12-18,73,77,64,69,70,52,46,46,54,65
2017-12-19,60,68,54,58,64,75,52,34,47,60
2017-12-20,75,91,40,54,39,73,64,33,40,47
2017-12-21,54,66,58,57,35,70,65,32,N/A,46
2017-12-22,50,82,55,43,42,78,65,22,N/A,37
2017-12-23,57,75,50,52,40,65,67,28,50,44
2017-12-24,58,78,47,57,55,74,66,31,55,47
2017-12-25,65,78,54,52,47,72,59,32,36,34
2017-12-26,57,78,51,45,41,61,68,38,53,49
2017-12-27,66,86,52,60,54,76,57,27,60,52
2017-12-28,61,75,43,51,45,75,71,18,41,45
2017-12-29,51,80,48,54,59,86,57,34,50,50
2017-12-30,50,62,49,58,38,81,49,23,59,45
2017-12-31,62,59,77,77,77,34,37,27,53,60
2018-01-01,61,78,39,61,57,76,68,27,33,42
2018-01-02,62,71,52,44,39,72,80,42,47,42
2018-01-03,54,74,52,59,41,70,55,38,46,51
2018-01-04,81,70,54,46,34,79,67,25,36,48
2018-01-05,64,86,51,44,44,70,63,28,46,30
2018-01-06,75,80,52,54,52,74,54,31,43,51
2018-01-07,70,72,46,62,38,73,55,38,39,46
2018-01-08,63,78,57,65,46,64,52,41,37,42
2018-01-09,73,67,44,59,39,69,63,27,52,50
2018-01-10,57,80,45,66,49,82,56,38,34,53
2018-01-11,62,78,52,53,36,66,58,39,43,60
2018-01-12,69,83,55,45,37,77,55,19,54,31
2018-01-13,65,75,54,52,47,82,67,54,53,55
2018-01-14,58,65,65,89,79,56,39,32,62,67
2018-01-15,64,76,49,72,47,N/A,65,39,45,47
2018-01-16,60,78,34,54,49,89,51,19,52,40
2018-01-17,74,65,57,55,42,70,55,37,47,47
2018-01-18,68,75,47,58,51,65,63,32,48,37
2018-01-19,63,69,36,61,45,77,47,45,39,48
2018-01-20,64,84,55,53,34,76,66,41,36,46
2018-01-21,59,86,67,68,72,62,39,51,53,70
2018-01-22,66,72,69,86,66,49,29,45,60,63
2018-01-23,59,68,40,51,49,74,55,25,41,45
2018-01-24,67,80,40,50,64,68,55,39,61,48
2018-01-25,69,77,48,61,53,63,59,23,47,44
2018-01-26,59,70,76,68,69,52,45,42,61,58
2018-01-27,62,77,46,46,52,69,61,36,42,N/A
2018-01-28,57,83,52,52,53,75,65,36,55,45
2018-01-29,67,77,50,64,50,80,53,32,47,48
2018-01-30,69,73,57,42,38,68,55,39,42,54
2018-01-31,62,80,45,53,34,73,74,31,47,43
2018-02-01,61,86,49,47,59,65,45,32,49,54
2018-02-02,73,72,52,50,42,80,45,35,52,38
2018-02-03,66,73,52,53,41,72,58,36,42,47
2018-02-04,49,N/A,74,75,84,41,32,32,60,72
2018-02-05,63,77,32,57,30,70,59,32,54,38
2018-02-06,57,71,53,61,41,76,59,24,51,44
2018-02-07,68,73,48,N/A,38,75,58,31,53,55
2018-02-08,65,83,44,60,39,64,53,22,37,40
2018-02-09,61,67,43,51,42,68,54,29,42,46
2018-02-10,43,75,69,83,72,30,45,47,45,66
2018-02-11,57,76,50,52,40,77,56,42,43,51
2018-02-12,71,72,49,48,44,66,59,34,53,41
2018-02-13,68,76,31,48,39,78,55,33,56,37
2018-02-14,63,84,49,46,43,81,64,33,40,61
2018-02-15,67,77,53,67,43,67,58,37,34,49
2018-02-16,72,77,50,53,43,63,47,34,52,55
2018-02-17,78,67,36,49,37,79,66,26,49,33
2018-02-18,66,76,40,39,32,70,66,35,46,43
2018-02-19,64,83,48,42,60,75,54,19,44,50
2018-02-20,76,73,55,48,32,65,66,29,45,48
2018-02-21,59,86,55,50,48,67,51,35,36,38
2018-02-22,71,78,47,47,40,81,66,30,41,38
2018-02-23,60,80,41,56,51,81,78,18,39,53
2018-02-24,49,67,61,85,70,36,42,36,66,78
2018-02-25,55,58,47,46,36,74,65,30,58,46
2018-02-26,74,72,55,45,49,65,74,35,47,42
2018-02-27,66,73,46,45,43,72,74,21,39,51
2018-02-28,48,77,49,48,48,71,52,23,57,39
2018-03-01,70,93,57,54,36,73,66,39,36,50
2018-03-02,N/A,79,59,32,45,77,58,34,49,42
2018-03-03,54,75,64,72,75,42,34,31,72,70
2018-03-04,74,71,43,55,45,73,68,23,42,51
2018-03-05,54,80,N/A,45,38,78,54,24,64,46
2018-03-06,66,78,47,55,49,62,55,38,44,47
2018-03-07,63,77,44,58,56,79,47,33,49,50
2018-03-08,67,69,53,47,46,82,65,30,49,40
2018-03-09,68,64,68,84,81,45,28,48,74,70
2018-03-10,65,90,37,46,46,73,70,37,51,44
2018-03-11,66,73,53,51,54,77,66,38,35,48
2018-03-12,52,74,55,52,47,64,67,31,51,42
2018-03-13,57,73,49,53,49,77,68,25,34,43
2018-03-14,56,68,73,68,58,52,39,49,62,64
2018-03-15,58,79,53,53,33,73,62,29,44,43
2018-03-16,64,81,48,61,43,72,55,31,46,48
2018-03-17,62,78,43,69,42,64,61,39,50,52
2018-03-18,63,77,50,61,41,77,66,28,60,41
2018-03-19,50,73,43,51,44,75,51,23,50,42
2018-03-20,65,80,53,42,49,68,68,24,45,35
2018-03-21,66,66,54,40,40,66,80,33,46,44
2018-03-22,67,80,51,46,54,80,58,49,40,37
2018-03-23,60,69,45,61,44,75,63,32,47,45
2018-03-24,56,89,49,46,43,64,72,24,53,50
2018-03-25,59,73,61,56,38,82,64,30,42,58
2018-03-26,56,72,48,68,38,63,55,39,44,51
2018-03-27,73,73,42,35,43,60,71,44,35,52
2018-03-28,69,92,45,67,45,77,69,30,49,N/A
2018-03-29,59,69,45,54,60,75,61,31,35,44
2018-03-30,58,83,50,58,35,80,64,33,43,47
2018-03-31,44,74,69,85,72,50,55,42,64,57
2018-04-01,62,84,53,45,48,82,54,31,45,51
2018-04-02,69,78,64,45,35,56,74,37,49,50
2018-04-03,62,94,53,54,40,80,51,34,56,49
2018-04-04,43,76,60,78,83,42,32,39,78,72
2018-04-05,66,78,56,49,48,72,50,28,42,52
2018-04-06,70,91,33,43,34,65,65,42,56,30
2018-04-07,69,76,46,57,52,79,63,28,51,63
2018-04-08,69,84,51,48,37,68,65,35,39,50
2018-04-09,63,79,52,47,41,78,61,45,43,51
2018-04-10,67,82,44,54,51,75,63,31,33,41
2018-04-11,66,82,43,60,44,74,71,24,49,52
2018-04-12,56,69,34,54,42,87,58,39,46,39
2018-04-13,59,66,72,N/A,69,35,36,31,66,74
2018-04-14,50,70,72,91,82,44,34,44,71,68
2018-04-15,69,70,60,53,48,70,59,26,45,37
2018-04-16,65,67,49,45,55,73,61,31,42,40
2018-04-17,65,85,56,47,42,70,63,33,51,46
2018-04-18,65,72,51,52,49,64,55,26,52,51
2018-04-19,59,71,75,81,75,56,33,38,70,65
2018-04-20,69,71,60,55,34,74,65,34,46,54
2018-04-21,66,82,50,59,45,64,53,34,30,64
2018-04-22,53,74,54,44,56,81,59,29,41,44
2018-04-23,62,79,73,81,69,38,49,32,55,59
2018-04-24,53,82,52,52,41,73,64,36,48,44
2018-04-25,54,76,53,47,44,84,63,28,35,48
2018-04-26,74,76,45,58,43,75,65,31,38,46
2018-04-27,45,83,45,47,49,58,55,29,38,40
2018-04-28,60,69,54,56,45,77,74,27,42,47
2018-04-29,72,71,44,53,43,69,67,34,41,44
2018-04-30,71,87,40,53,43,82,79,40,51,43
2018-05-01,66,80,52,52,41,70,74,33,37,50
2018-05-02,72,77,58,44,45,72,70,18,51,41
2018-05-03,53,72,63,54,53,70,63,40,36,43
2018-05-04,59,75,53,45,54,78,69,47,38,44
2018-05-05,53,67,44,58,45,77,65,35,42,53
2018-05-06,76,80,35,53,48,63,61,50,39,47
2018-05-07,59,83,35,52,44,66,70,40,42,45
2018-05-08,52,62,69,89,72,30,44,41,65,67
2018-05-09,60,70,51,N/A,41,66,64,29,57,30
2018-05-10,57,62,80,74,76,48,40,33,66,60
2018-05-11,56,73,54,55,44,73,60,31,34,37
2018-05-12,58,81,54,49,48,73,57,42,42,49
2018-05-13,50,85,70,84,75,44,39,34,75,65
2018-05-14,58,78,48,51,48,69,61,45,52,45
2018-05-15,68,84,36,59,41,62,65,28,47,50
2018-05-16,70,84,45,55,43,75,52,37,57,N/A
2018-05-17,47,73,71,72,67,34,44,45,61,N/A
2018-05-18,63,69,55,59,52,N/A,56,25,50,37
2018-05-19,65,73,48,49,51,75,62,25,48,43
2018-05-20,51,78,51,54,33,70,65,27,38,44
2018-05-21,51,69,50,39,44,80,51,16,44,48
2018-05-22,67,80,52,49,51,65,72,30,47,34
2018-05-23,65,83,48,47,49,75,56,25,40,58
2018-05-24,83,69,52,47,57,68,53,34,49,38
2018-05-25,44,72,78,75,81,46,28,32,73,76
2018-05-26,68,70,49,53,38,84,69,34,42,51
2018-05-27,60,66,45,66,42,83,74,20,39,47
